,summary,text
0,"The United States Securities and Exchange Commission announced that on December 29, 2008, it filed an emergency action to halt a Ponzi scheme and affinity fraud conducted by Creative Capital Consortium, LLC and A Creative Capital Concept$, LLC (collectively, Creative Capital), and its principal, George L. Theodule.","NOTICE: Attorneys MUST Indicate All Re-filed Cases Below. 
I. (a) PLAINTIFFS DEFENDANTS SECURITIES AND EXCHANGE COMMISSION CREATIVE CAPITAL CONSORTIUM, LLC, A CREATIVE CAPITAL CONCEPTS, LLC, and GEORGE L. THEODULE (b) County of Residence of First Listed Plaintiff County of Residence of First Listed Degh Palm Beach 
(EXCEPT IN U.S. PLAINTIFF CA: UN U.S. PL, CARES ONLY) 
(c) Attomcy’s (Firm Name.RELIEF REQUESTED 
WHEREFORE, the Commission respectfully requests the Court: 
| Declaratory Relief 
Declare, determine and find that the Defendants have committed the violations of the 
federal securities laws alleged herein.Penalties Issue an Order directing the Defendants to pay civil money penalties pursuant to Section 
21(d) of the Exchange Act [15 U.S.C. § 78u(d)]. 
8 of 10 
Case 9:08-cv-81565-DTKH34. | Thus, Theodule misrepresented the safety and security of the Creative Capital investments when he led investors to believe: they could withdraw their funds any time after the initial 90-day investment period; there was no risk; and SIMS verified the security of their funds.CLAIM FOR RELIEF Fraud in Violation of Section 10(b) of the Exchange Act and Rule 10b-5 Thereunder 
35.29. | However, Creative Capital hid those losses from current and prospective investors, paying principal and purported profits to existing investment clubs and individual 
investors of approximately $15.2 million from new investor funds.NATURE OF SUIT (Place an “x” in One Box Ont 4 ONTRA po rorts TO TPORFEITURE/PENALTY | BANKRUPTCY | COTHER STATUTES | 
3 110 Insurance PERSONAL INJURY PERSONAL INJURY |3 610 Agriculure 3 422 Appeal 2% USC 15K 400 State Reapportionment 3120 Manne J 310 Airplane 3362 Personal Injury - 620 Other Food & Drug 3 423 Withdrawal 3 410 Antitrust 3 130 Miller Act 3.315 Airplane Product Med. Malpractice 625 Drug Related Seizure 2K USC 157 J 430 Banks and Banking 3 140 Negotiable Instrument Liability 365 Personal Injury - of Property 21 USC &RI J 450 Commerce J 150 Recovery of Overpaymem | I 320 Assault, Libel & Product Liability 630 Liquor Laws J 460 Deportation & Enforcement of Judgment Slander J 36% Asbestos Personal 640 R.R. & Truck J X20 Copyrights D470 Racketeer InQuenced and J 1St Medicare Ait 3 330 Federal Employers’ 650 Airline Regs. D X30 Patent Corrupt Organientions 7-152 Recovery of Defauited Liability ii 660 Occupational 3 840 Trademark D480 Consumer Credit Student Loans 3 340 Marine Safety/Health 3 490 Cable-Sat TV (Excl. Veterans) 3345 Marine Product 370 Other Fraud 690 Other 3 10 Selective Service 183 Recovery of Overpayment Liability 371 Truth in Lending X50 Securities Commodities of Veteran's Benetits 3350 Motor Vehicle 380 Other Personal 710 Pair Labor Standards J X61 HIA (1395 Exchange J 160 Stockholders’ Suits 3-455 Motor Vehicle Property Damage Act 3 X62 Black Lung (923) J X75 Customer Challenge 190 Other Contract Product Liability 38S Property Damage 720 Labor/Mymt, Relations | 863 OIWC/DIWW (405(2) 12USC 3410 3-195 Conteact Product Liability [J 360 Other Personal Product Liability 730 Labus/MgmtReporing | J X64 SSID Title XVI D x90 Other Statutory Actions 2196 Franchise Injury & Disclosure Act 3_ 865 RSI (405(g)) D XYL Agricultural Acts 
3 740 Ruilway Labor Act 3 ¥92 Economic Stabilization Act 270 Land Condemnation D 44} Voring J $10 Motions w Vacate | 790 Other Labor Litigation [X70 Tuxes (U.S. PlaintitT 893 Environmental Matters 220 Foreclosure J 442 Employment Sentence 3 79t Empl. Ret. Inc, Securit ur Defendant) R94 Energy Allocation Act 
230 Rent Lease & Ejectment | 3 443 Housing!Asset Freeze and Sworn Accountings 
Issue an Order freezing the assets of all Defendants until further Order of the Court and 
7 of 10 
Case 9:08-cv-81565-DTKH36. Starting no later than November 2007, the Defendants, directly and indirectly, by use of the means and instrumentality of interstate commerce, and of the mails in connection with 
the purchase or sale of securities, have been knowingly, willfully or recklessly: (a) employing 
6 of 10 
Case 9:08-cv-81565-DTKHi 
COMPLAINT FOR INJUNCTIVE AND OTHER RELIEF 
Plaintiff Securities and Exchange Commission alleges: 
INTRODUCTION 
L. The Commission brings this action to enjoin Creative Capital Consortium, LLC (“Consortium”), A Creative Capital Concept$, LLC (“Concept$”) (collectively “Creative Capital” or “the Companies”), and George L. Theodule from continuing to defraud investors through their violations of the antifraud provisions of the federal securities laws."
1,"According to the Commission's complaint, the defendants raised at least $23.4 million from thousands of investors in the Haitian-American community nationwide through a network of purported investment clubs Theodule directs investors to form.","The Defendants have engaged in a fraudulent Ponzi scheme primarily targeting the US Haitian community since at least November 2007.This includes net transfers of at least $1.7 million to his personal bank accounts, cash withdrawals of more than $1.5 million and more than $600,000 for apparent personal expenses such as two luxury vehicles, credit card bills, a wedding payment, and a house down payment.21. The investment clubs pool investor funds and send them to Creative Capital for a 90-day period, during which Theodule purportedly trades stocks and options on behalf of the investment club members.Page 2 of 10 
$15.2 million collected from new investors in typical Ponzi scheme fashion.Page 4 of 10 
made millionaires out of a significant number of people in the time it had taken her to decide to invest, and pressured her to liquidate the equity in her home to invest with him.14. Theodule ingratiates himself with investors by claiming he recently decided to offer his investment expertise to help build wealth in the Haitian community.He also tells investors he uses part of his trading profits to fund start-up businesses in the Haitian community, as well as business projects in Haiti and Sierra Leone.15. The Defendants primarily attract investors through word-of-mouth, and Theodule makes his representations during face-to-face meetings in which he touts his ability to double investor funds in just 90 days.18. Since the commencement of the investment scheme, the Defendants have raised more than $23.4 million from thousands of investors nationwide.2, From at least November 2007 to the present, Theodule, directly and through the Companies, has raised at least $23.4 million from thousands of investors in an ongoing fraud and Ponzi scheme targeting mostly Haitian and Haitian-American investors nationwide."
2,"Also on December 29, 2008 Judge Donald M. Middlebrooks, U.S. District Judge for the Southern District of Florida, issued an order placing Creative Capital under the control of a receiver to safeguard assets, as well as other emergency orders, including temporary restraining orders and asset freezes.","NATURE OF SUIT (Place an “x” in One Box Ont 4 ONTRA po rorts TO TPORFEITURE/PENALTY | BANKRUPTCY | COTHER STATUTES | 
3 110 Insurance PERSONAL INJURY PERSONAL INJURY |3 610 Agriculure 3 422 Appeal 2% USC 15K 400 State Reapportionment 3120 Manne J 310 Airplane 3362 Personal Injury - 620 Other Food & Drug 3 423 Withdrawal 3 410 Antitrust 3 130 Miller Act 3.315 Airplane Product Med. Malpractice 625 Drug Related Seizure 2K USC 157 J 430 Banks and Banking 3 140 Negotiable Instrument Liability 365 Personal Injury - of Property 21 USC &RI J 450 Commerce J 150 Recovery of Overpaymem | I 320 Assault, Libel & Product Liability 630 Liquor Laws J 460 Deportation & Enforcement of Judgment Slander J 36% Asbestos Personal 640 R.R. & Truck J X20 Copyrights D470 Racketeer InQuenced and J 1St Medicare Ait 3 330 Federal Employers’ 650 Airline Regs. D X30 Patent Corrupt Organientions 7-152 Recovery of Defauited Liability ii 660 Occupational 3 840 Trademark D480 Consumer Credit Student Loans 3 340 Marine Safety/Health 3 490 Cable-Sat TV (Excl. Veterans) 3345 Marine Product 370 Other Fraud 690 Other 3 10 Selective Service 183 Recovery of Overpayment Liability 371 Truth in Lending X50 Securities Commodities of Veteran's Benetits 3350 Motor Vehicle 380 Other Personal 710 Pair Labor Standards J X61 HIA (1395 Exchange J 160 Stockholders’ Suits 3-455 Motor Vehicle Property Damage Act 3 X62 Black Lung (923) J X75 Customer Challenge 190 Other Contract Product Liability 38S Property Damage 720 Labor/Mymt, Relations | 863 OIWC/DIWW (405(2) 12USC 3410 3-195 Conteact Product Liability [J 360 Other Personal Product Liability 730 Labus/MgmtReporing | J X64 SSID Title XVI D x90 Other Statutory Actions 2196 Franchise Injury & Disclosure Act 3_ 865 RSI (405(g)) D XYL Agricultural Acts 
3 740 Ruilway Labor Act 3 ¥92 Economic Stabilization Act 270 Land Condemnation D 44} Voring J $10 Motions w Vacate | 790 Other Labor Litigation [X70 Tuxes (U.S. PlaintitT 893 Environmental Matters 220 Foreclosure J 442 Employment Sentence 3 79t Empl. Ret. Inc, Securit ur Defendant) R94 Energy Allocation Act 
230 Rent Lease & Ejectment | 3 443 Housing!Document 1 Entered on FLSD Docket 12/29/200 FUR BOs 110 D.C. 
DEC 29, 2008 
STEVEN M, ‘ae, CLERK U.S. DIST.This form, approved by the Judicial Conference of the United States in September 1974, is required for the use of the Clerk of Court for the purpose of initiating the civil docket sheet, (SEE INSTRUCTIONS ON THE REVERSE OF THE FORM.)9. Theodule, 48, currently resides in Loganville, Georgia, where he relocated from Wellington, Florida in September 2008.In addition, Creative Capita!’s principal place of business is in the Southern District of Florida, and until recently Theodule resided in the Souther District of Florida.§ Brian K. Barry, Esq., (305) 982-6382 Securities and Exchange Commission 801 Brickell Avenue, Suite 1800, Miami, FL 33131 
- kbs - (a) Check CountyThe Court has personal jurisdiction over the Defendants, and venue is proper in the Southern District of Florida because many of the Defendants’ acts and transactions constituting violations of the Exchange Act occurred in the Southern District of Florida.NOTICE: Attorneys MUST Indicate All Re-filed Cases Below. 
I. (a) PLAINTIFFS DEFENDANTS SECURITIES AND EXCHANGE COMMISSION CREATIVE CAPITAL CONSORTIUM, LLC, A CREATIVE CAPITAL CONCEPTS, LLC, and GEORGE L. THEODULE (b) County of Residence of First Listed Plaintiff County of Residence of First Listed Degh Palm Beach 
(EXCEPT IN U.S. PLAINTIFF CA: UN U.S. PL, CARES ONLY) 
(c) Attomcy’s (Firm Name.December 29, 2008 La 2 submitted, 
By: 
Brian Lib i 
Senior Trial Counsel Florida Bar No. 0632287 Direct Dial: (305) 982-6382 Email: barryb@sec.gov 
Christopher E. Martin Senior Trial Counsel 
SD Fla. Bar No. A5500747 Direct Dial: (305) 982-6386 
Email: martinc@sec.yov 
Teresa Verges 
Assistant Regional Director Florida Bar No. 997651 Direct Dial: (305) 982-6384 Email: yvergest@scc.gov 
Attomeys for Plaintiff SECURITIES AND EXCHANGE COMMISSION 
801 Brickell Avenue, Suite 1800 Miami, Florida 33131 
Telephone: (305) 982-6300 Facsimile: (305) 536-4154 
9 of 10 
CaseRepatriation of Investor Proceeds Issue an Order requiring the Defendants to take such steps as necessary to repatriate to 
the territory of the United States all funds and assets of investors described in the Commission’s Complaint in this action which are held by them or are under their direct or indirect control, and deposit such funds into the registry of the United States District Court for the Southern District of Florida, and provide the Commission and the Court a written description of the funds and assets repatriated."
3,"The Commission's complaint alleges that starting in at least November 2007, Theodule, directly and through Creative Capital, raised at least $23.4 million from thousands of investors, mostly Haitian-Americans.","21. The investment clubs pool investor funds and send them to Creative Capital for a 90-day period, during which Theodule purportedly trades stocks and options on behalf of the investment club members.The Defendants have engaged in a fraudulent Ponzi scheme primarily targeting the US Haitian community since at least November 2007.Of the more than $18.3 million deposited in brokerage accounts Theodule controls, he has lost approximately 97% of those funds trading stocks and options.Page 2 of 10 
$15.2 million collected from new investors in typical Ponzi scheme fashion.This includes net transfers of at least $1.7 million to his personal bank accounts, cash withdrawals of more than $1.5 million and more than $600,000 for apparent personal expenses such as two luxury vehicles, credit card bills, a wedding payment, and a house down payment.26. At the end of the 90-day investment period, when the Defendants have purportedly doubled the investment amount, they supposedly return the principal and profits back to the investment clubs, minus a 40% commission on the profits.Page 4 of 10 
made millionaires out of a significant number of people in the time it had taken her to decide to invest, and pressured her to liquidate the equity in her home to invest with him.15. The Defendants primarily attract investors through word-of-mouth, and Theodule makes his representations during face-to-face meetings in which he touts his ability to double investor funds in just 90 days.18. Since the commencement of the investment scheme, the Defendants have raised more than $23.4 million from thousands of investors nationwide.2, From at least November 2007 to the present, Theodule, directly and through the Companies, has raised at least $23.4 million from thousands of investors in an ongoing fraud and Ponzi scheme targeting mostly Haitian and Haitian-American investors nationwide."
4,"As part of the scheme, the defendants direct investors to form investment clubs solely for the purpose of funneling funds to Theodule and Creative Capital.","NOTICE: Attorneys MUST Indicate All Re-filed Cases Below. 
I. (a) PLAINTIFFS DEFENDANTS SECURITIES AND EXCHANGE COMMISSION CREATIVE CAPITAL CONSORTIUM, LLC, A CREATIVE CAPITAL CONCEPTS, LLC, and GEORGE L. THEODULE (b) County of Residence of First Listed Plaintiff County of Residence of First Listed Degh Palm Beach 
(EXCEPT IN U.S. PLAINTIFF CA: UN U.S. PL, CARES ONLY) 
(c) Attomcy’s (Firm Name.25. The investment clubs deposit the investors’ funds into their own bank accounts, pool the funds, and remit the moncy to Creative Capital, minus a 10% club commission.14. Theodule ingratiates himself with investors by claiming he recently decided to offer his investment expertise to help build wealth in the Haitian community.i 
COMPLAINT FOR INJUNCTIVE AND OTHER RELIEF 
Plaintiff Securities and Exchange Commission alleges: 
INTRODUCTION 
L. The Commission brings this action to enjoin Creative Capital Consortium, LLC (“Consortium”), A Creative Capital Concept$, LLC (“Concept$”) (collectively “Creative Capital” or “the Companies”), and George L. Theodule from continuing to defraud investors through their violations of the antifraud provisions of the federal securities laws.He is the managing member of the Companies and solicited investors.29. | However, Creative Capital hid those losses from current and prospective investors, paying principal and purported profits to existing investment clubs and individual 
investors of approximately $15.2 million from new investor funds.Concept$ was the initial entity Theodule used to raise funds from investors until he formed Consortium.To add to investors’ sense of security, Theodule directs prospective investors to form “investment clubs,” which a purported self-regulatory agency, Smart Investment Management Services, LLC (“SIMS”), helps the investors form.23. Thus, the investment clubs serve principally as vehicles to funnel funds to 
Theodule and Creative Capital.Consortium became the primary entity through which Theodule raised investor funds and transacted business with investment clubs."
5,Theodule solicits investors for Creative Capital by guaranteeing a 100% return on their investment within 90 days based on his claimed successful trading of stocks and options.,"Prior to distributing the proceeds back to the individual club members, the investment clubs typically charge a second 10% commission on the principal.18. Since the commencement of the investment scheme, the Defendants have raised more than $23.4 million from thousands of investors nationwide.16. Theodule also routinely boasts to investors about Creative Capital’s high rates of 
return, and stresses the need to begin investing as soon as possible.Page 2 of 10 
$15.2 million collected from new investors in typical Ponzi scheme fashion.Page 4 of 10 
made millionaires out of a significant number of people in the time it had taken her to decide to invest, and pressured her to liquidate the equity in her home to invest with him.They guarantee investors 100% returns with no risk, and claim to invest in the stocks and options of well-known companies such as Google, John Deere, Monsanto, Best Buy, GameStop, and others.26. At the end of the 90-day investment period, when the Defendants have purportedly doubled the investment amount, they supposedly return the principal and profits back to the investment clubs, minus a 40% commission on the profits.21. The investment clubs pool investor funds and send them to Creative Capital for a 90-day period, during which Theodule purportedly trades stocks and options on behalf of the investment club members.15. The Defendants primarily attract investors through word-of-mouth, and Theodule makes his representations during face-to-face meetings in which he touts his ability to double investor funds in just 90 days.3. Theodule solicits investments for the Companies primarily during in-person presentations where he guarantees prospective investors a 100% return on their investment within 90 days based on his successful trading of stocks and options."
6,"The defendants also solicit investors by claiming that Creative Capital's trading profits are used to fund new business ventures, some of which benefit the Haitian community in the United States and Haiti, and others in Sierra Leone.","The Defendants have engaged in a fraudulent Ponzi scheme primarily targeting the US Haitian community since at least November 2007.23. Thus, the investment clubs serve principally as vehicles to funnel funds to 
Theodule and Creative Capital.i 
COMPLAINT FOR INJUNCTIVE AND OTHER RELIEF 
Plaintiff Securities and Exchange Commission alleges: 
INTRODUCTION 
L. The Commission brings this action to enjoin Creative Capital Consortium, LLC (“Consortium”), A Creative Capital Concept$, LLC (“Concept$”) (collectively “Creative Capital” or “the Companies”), and George L. Theodule from continuing to defraud investors through their violations of the antifraud provisions of the federal securities laws.2, From at least November 2007 to the present, Theodule, directly and through the Companies, has raised at least $23.4 million from thousands of investors in an ongoing fraud and Ponzi scheme targeting mostly Haitian and Haitian-American investors nationwide.To add to investors’ sense of security, Theodule directs prospective investors to form “investment clubs,” which a purported self-regulatory agency, Smart Investment Management Services, LLC (“SIMS”), helps the investors form.Concept$ was the initial entity Theodule used to raise funds from investors until he formed Consortium.29. | However, Creative Capital hid those losses from current and prospective investors, paying principal and purported profits to existing investment clubs and individual 
investors of approximately $15.2 million from new investor funds.14. Theodule ingratiates himself with investors by claiming he recently decided to offer his investment expertise to help build wealth in the Haitian community.He also tells investors he uses part of his trading profits to fund start-up businesses in the Haitian community, as well as business projects in Haiti and Sierra Leone.Additionally, Theodule claims he uses trading profits to fund new business ventures, some of which benefit the Haitian community in the United States and Haiti, and others in Sierra Leone."
7,"In truth, Theodule has lost at least $18 million trading stocks and options just over the last year.","2, From at least November 2007 to the present, Theodule, directly and through the Companies, has raised at least $23.4 million from thousands of investors in an ongoing fraud and Ponzi scheme targeting mostly Haitian and Haitian-American investors nationwide.This includes net transfers of at least $1.7 million to his personal bank accounts, cash withdrawals of more than $1.5 million and more than $600,000 for apparent personal expenses such as two luxury vehicles, credit card bills, a wedding payment, and a house down payment.Page 4 of 10 
made millionaires out of a significant number of people in the time it had taken her to decide to invest, and pressured her to liquidate the equity in her home to invest with him.Prior to distributing the proceeds back to the individual club members, the investment clubs typically charge a second 10% commission on the principal.To the contrary, Thcodule has commingled investor funds extensively with his own personal accounts and has misappropriated at least $3.8 million.26. At the end of the 90-day investment period, when the Defendants have purportedly doubled the investment amount, they supposedly return the principal and profits back to the investment clubs, minus a 40% commission on the profits.In fact, Theodule has consistently lost money trading in those accounts since November 2007, and has never generated net trading profits.Finally, Theodule has commingled investor funds with his personal funds and misappropriated at least $3.8 million for himself and his family members.Of the more than $18.3 million deposited in brokerage accounts Theodule controls, he has lost approximately 97% of those funds trading stocks and options.4, In reality, Thcodule has lost at least $18 million trading stocks and options over 
the last year."
8,"In addition, Creative Capital merely repaid earlier investors with monies collected from new investors in typical Ponzi scheme fashion.","To the contrary, Thcodule has commingled investor funds extensively with his own personal accounts and has misappropriated at least $3.8 million.Page 2 of 10 
$15.2 million collected from new investors in typical Ponzi scheme fashion.Prior to distributing the proceeds back to the individual club members, the investment clubs typically charge a second 10% commission on the principal.Finally, Theodule has commingled investor funds with his personal funds and misappropriated at least $3.8 million for himself and his family members.25. The investment clubs deposit the investors’ funds into their own bank accounts, pool the funds, and remit the moncy to Creative Capital, minus a 10% club commission.34. | Thus, Theodule misrepresented the safety and security of the Creative Capital investments when he led investors to believe: they could withdraw their funds any time after the initial 90-day investment period; there was no risk; and SIMS verified the security of their funds.31. In reality, there were no trading profits, and most of the funds the Defendants disbursed went to pay carlicr investors their purported profits, not fund business projects.Concept$ was the initial entity Theodule used to raise funds from investors until he formed Consortium.29. | However, Creative Capital hid those losses from current and prospective investors, paying principal and purported profits to existing investment clubs and individual 
investors of approximately $15.2 million from new investor funds.In addition, Creative Capital merely repaid earlier investors with approximately 
Case 9:08-cv-81565-DTKH"
9,"Finally, the Complaint alleges, Theodule has commingled investor funds with his personal funds and misappropriated at least $3.8 million for himself and his family.","Page 4 of 10 
made millionaires out of a significant number of people in the time it had taken her to decide to invest, and pressured her to liquidate the equity in her home to invest with him.4, In reality, Thcodule has lost at least $18 million trading stocks and options over 
the last year.In connection with Defendants’ fraudulent Ponzi scheme, they have made and continue to make numerous material misrepresentations and omissions regarding Creative Capital’s business, Theodule’s stock trading, and the use of investor funds.36. Starting no later than November 2007, the Defendants, directly and indirectly, by use of the means and instrumentality of interstate commerce, and of the mails in connection with 
the purchase or sale of securities, have been knowingly, willfully or recklessly: (a) employing 
6 of 10 
Case 9:08-cv-81565-DTKH2, From at least November 2007 to the present, Theodule, directly and through the Companies, has raised at least $23.4 million from thousands of investors in an ongoing fraud and Ponzi scheme targeting mostly Haitian and Haitian-American investors nationwide.This includes net transfers of at least $1.7 million to his personal bank accounts, cash withdrawals of more than $1.5 million and more than $600,000 for apparent personal expenses such as two luxury vehicles, credit card bills, a wedding payment, and a house down payment.29. | However, Creative Capital hid those losses from current and prospective investors, paying principal and purported profits to existing investment clubs and individual 
investors of approximately $15.2 million from new investor funds.Of the more than $18.3 million deposited in brokerage accounts Theodule controls, he has lost approximately 97% of those funds trading stocks and options.To the contrary, Thcodule has commingled investor funds extensively with his own personal accounts and has misappropriated at least $3.8 million.Finally, Theodule has commingled investor funds with his personal funds and misappropriated at least $3.8 million for himself and his family members."
